domain,recipient,channel,contact_route,draft_section,status,initial_sent_at,followup_1_due,followup_1_sent_at,followup_2_due,followup_2_sent_at,response_status,response_at,live_referring_page,last_checked,notes
knowyourethos.com,Know Your Ethos team,email,support@knowyourethos.com,11,delivery_failed_official_route_broken,2026-07-31T22:14:00+02:00,,,,,delivery_failed,2026-07-31T22:13:51+02:00,,2026-07-31,"Current comparison, team byline, Our Story, legal-page navigation and official FAQ support address were verified, but Gmail message 19fb9cfc9dba42c1 failed with 550 5.1.1 because the published address does not receive mail; no alternative route was guessed and no follow-up is scheduled"
deepjournal.app,DeepJournal team,email,support@deepjournal.app,12,initial_sent_waiting,2026-07-31T22:15:00+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Current comparison and official contact page verified; publisher discloses its own product, no affiliate compensation and review limitations; Gmail message 19fb9d1f3424626f; one factual mobile-specialist request with no payment, reciprocity or ranking request"
journpad.com,JournPad team,email,support@journpad.com,13,delivery_temporarily_delayed_waiting_google_retry,2026-07-31T22:16:00+02:00,,,,,delivery_temporarily_delayed,2026-08-02T01:10:39+02:00,,2026-08-02,"Current official-source comparison, dated privacy and terms, and official support email verified; original Gmail message 19fb9d26f2bcbcf5; delay notice 19fbf9809ddba77c reports timeouts to 216.198.79.65 and 64.29.17.1 with a 45-hour retry window. Calendar follow-ups are suspended: if delivery is later confirmed, wait three full days from that confirmation before scheduling the first reply; if delivery fails permanently, close the route without guessing another address"
dreamz-journal.com,Jay Tee,email,support@dreamz-journal.com,14,delivery_failed_claimed_editorial_route_broken,2026-07-31T22:19:00+02:00,,,,,delivery_failed,2026-07-31T22:19:44+02:00,,2026-07-31,"Current comparison, disclosed pseudonymous founder-editor, public methodology and non-medical limits were verified, but Gmail message 19fb9d5299f047ad failed because the prominently advertised editorial account does not exist or cannot receive mail; no follow-up or guessed alternative"
getacuity.io,Acuity editorial team,email,hello@getacuity.io,15,initial_sent_waiting,2026-07-31T22:56:00+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Named author, balanced comparison, identified LLC, dated privacy and terms, and official general contact verified; no prior Gmail thread; message 19fb9f751eae00bc; factual hands-on request with no payment, reciprocity, ranking or link-placement request"
cortexos.app,Orlin Martinov,email,info@cortexos.app,16,initial_sent_waiting,2026-07-31T22:56:00+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Named founder, disclosed publisher bias, identified Malta operator, current press, trust and privacy pages, and direct press route verified; no prior Gmail thread; message 19fb9f75ccc94439; Noctalia cloud-processing difference stated explicitly"
brooo.app,Swapnil Tiwari,email,swapniltiwari775@gmail.com,17,initial_sent_waiting,2026-07-31T22:56:00+02:00,2026-08-05,,2026-08-13,,awaiting_reply,,,2026-07-31,"Named developer-author, current Android comparison, own-product context, detailed privacy page and direct official email verified; no prior Gmail thread; message 19fb9f74525c865a; factual request with no payment, reciprocity or link guarantee"
individuate.me,"Evgeny Smirnov, PhD",email,hello@individuate.me,18,initial_sent_waiting,2026-08-02T18:55:44+02:00,2026-08-07,,2026-08-15,,awaiting_reply,,,2026-08-02,"Named author and disclosed own-product context verified; Privacy and Terms identify 4xxi Software Ltd in England and Wales; no prior Gmail thread; message 19fc367251acc725; reviewer access offered with full editorial control and no payment, reciprocity, ranking or link request"
dreamly-app.com,Martin Berbesson,email,hello@dreamly-app.com,19,initial_sent_waiting,2026-08-02T18:56:50+02:00,2026-08-07,,2026-08-15,,awaiting_reply,,,2026-08-02,"Named author and EU trader, current comparison, Privacy, Terms and official support email verified; no prior Gmail thread; message 19fc36826b487888; Dreamly's policy permits commercial use of anonymized aggregated dream data, so the factual testing invitation is not an endorsement"
elsewhere.to,"Dan Kennedy / Elsewhere editorial team",email,team@elsewhere.to,20,initial_sent_waiting,2026-08-02T19:53:06+02:00,2026-08-07,,2026-08-15,,awaiting_reply,,,2026-08-02,"Named author and disclosed own-product review; ELSEWHERE.TO LTD, Sheffield address, current privacy policy, research page and official team contact verified; no prior Gmail thread; message 19fc39babffac4d5; dated vendor-source CSV offered with full editorial control and no payment, reciprocity, ranking or placement request"
vowise.com,"Jason Chen / Vowise team",email,support@vowise.com,21,initial_sent_waiting,2026-08-02T19:53:17+02:00,2026-08-07,,2026-08-15,,awaiting_reply,,,2026-08-02,"Named author, dated comparison methodology, identified Chinese operator and official support route verified; no prior Gmail thread; message 19fc39bd70c07636; factual hands-on request states Noctalia's online-processing and non-medical limits with no payment, reciprocity, ranking or placement request"
androidcentral.com,"Namerah Saud Fatmi, Senior Editor",email,namerah.saud-fatmi@futurenet.com,22,initial_sent_waiting,2026-08-02T18:52:28+02:00,2026-08-07,,2026-08-15,,awaiting_reply,,,2026-08-02,"Current Android journaling feature, Future PLC operator and editorial standards, named author and the contact address published on her official Android Central-linked X profile were verified; no Russian operator signal or prior Gmail thread; message 19fc3d204bde9cb5; no payment, reciprocity, ranking, placement or guaranteed-link request"
androidguias.com,"Lorena Figueredo / Android Guías editorial team",email,androidguias@actualidadblog.com,23,initial_sent_waiting,2026-08-02T21:18:06+02:00,2026-08-07,,2026-08-15,,awaiting_reply,,,2026-08-02,"Named author, current Android journal comparison, Spanish company identity, CIF, address and official editorial mailbox verified; no prior Gmail thread; message 19fc3e97bd835195; the authenticated connector sent from Thanh Chau at thannous@gmail.com rather than contact@noctalia.app; no payment, reciprocity, ranking, placement or guaranteed-link request"
slashgear.com,"JC Torres, Dave McQuilling / SlashGear staff",email,staff@slashgear.com,24,initial_sent_waiting,2026-08-02T21:18:02+02:00,2026-08-07,,2026-08-15,,awaiting_reply,,,2026-08-02,"Named authors, specialist-journal angle, Static Media Inc. United States identity, current editorial policy and official structured-data staff mailbox verified; no prior Gmail thread; message 19fc3e96d8df1d9f; the authenticated connector sent from Thanh Chau at thannous@gmail.com rather than contact@noctalia.app; no payment, reciprocity, ranking, placement or guaranteed-link request"
frandroid.com,Frandroid editorial team,form,https://www.frandroid.com/contact#edito,25,initial_form_accepted_waiting,2026-08-02T21:55:00+02:00,2026-08-07,,2026-08-15,,awaiting_editorial_reply,,,2026-08-02,"Humanoid SAS, Paris address, named editorial team, independent editorial model, current Android app-guide coverage and dedicated suggestion route verified; submitted once with contact@noctalia.app; authoritative confirmation displayed Votre message a bien été envoyé; no CAPTCHA, payment, ranking, reciprocal link, guaranteed link or brand-content route"
lifehacker.com,"David Nield, article author",form,https://davidnield.co/,29,initial_form_accepted_waiting,2026-08-02T22:49:00+02:00,2026-08-07,,2026-08-15,,awaiting_editorial_reply,,,2026-08-02,"Official self-canonical Lifehacker article and named author reverified; Ziff Davis United States ownership and legal address confirmed; Nield's official site links to his Lifehacker profile and accepted one factual message from contact@noctalia.app without CAPTCHA; the success alert appeared and the form reset; no payment, reciprocity, ranking, placement or guaranteed-link request"
androidauthority.com,"Andy Walker / Android Authority editorial team",form,https://www.androidauthority.com/contact/,30,initial_form_submit_unconfirmed,2026-08-02T23:15:00+02:00,,,,,delivery_unconfirmed_no_followup,,,2026-08-02,"The current Pixel Journal alternatives article, named author, Authority Media identity, editorial terms, British Columbia address and general-enquiries form were verified; optional advertising consent was refused; Submit was clicked exactly once with contact@noctalia.app, but no success or error message appeared and all fields remained populated, so do not retry or count the route as delivered, accepted, published, a backlink or a DR gain"
allthingsai.work,"AllThingsAI directory team",email,info@allthingsai.work,D1,initial_sent_waiting,2026-08-03T00:11:00+02:00,2026-08-08,,2026-08-16,,awaiting_review,,,2026-08-03,"D2X Enterprises LLC, its Philadelphia address, official free-listing route and five-business-day review statement were verified; sent once from contact@noctalia.app in Zimbra; authoritative confirmation displayed Le mail a été envoyé; factual product and non-medical AI boundaries only; no payment, reciprocity, ranking, placement or guaranteed-link request; not a backlink"
digitaltrends.com,"Digital Trends editorial team",email,editorial@digitaltrends.com,27,initial_sent_waiting,2026-08-03T00:32:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"Current redirected guide, named author, 2026-07-27 date, months-long hands-on methodology, Portland operator address and official editorial-suggestions mailbox reverified; exact Zimbra sent-folder dedupe returned no result; sent once from contact@noctalia.app; authoritative confirmation displayed Le mail a été envoyé; no immediate bounce or auto-reply; no payment, reciprocity, ranking, placement or guaranteed-link request"
gratitudegenie.com,"Prashanth Vaidya / Indie Genie Labs",email,prashanthvaidya@therunninggenie.com,32,initial_sent_waiting,2026-08-03T00:34:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"Current product-owned Android comparison, own-product disclosure, Indie Genie Labs Terms and exact address on both Support and Terms reverified; prior Google Play operator evidence places the named developer in Bengaluru, India; exact Zimbra sent-folder dedupe returned no result; sent once from contact@noctalia.app; authoritative confirmation displayed Le mail a été envoyé; no immediate bounce or auto-reply; no payment, reciprocity, ranking, placement or guaranteed-link request"
androidpolice.com,"Android Police editorial team",email,editorial@androidpolice.com,28,initial_sent_waiting,2026-08-03T00:36:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"Current article, Dhruv Bhutani byline, 2025-09-05 date, six-app comparison, Valnet Canadian operator and the current rendered Editorial Inquiries address reverified; address was not inferred or decoded; exact Zimbra sent-folder dedupe returned no result; sent once from contact@noctalia.app; authoritative confirmation displayed Le mail a été envoyé; no immediate bounce or auto-reply; no payment, reciprocity, ranking, placement or guaranteed-link request"
goalsandprogress.com,"Ramon Landes / Goals & Progress",email,support@goalsandprogress.com,33,initial_sent_waiting,2026-08-03T01:50:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"Current purpose-first guide, named author, 2026-08-03 update, disclosed desk-review and pricing limits, Zurich location and official support route verified; exact Zimbra sent-folder dedupe returned no result; sent once from contact@noctalia.app; sent search shows the message at 01:50 and no immediate bounce or auto-reply; the article currently cites research but not named app domains, so link likelihood is uncertain; no payment, reciprocity, ranking, placement or guaranteed-link request"
penzu.com,"Penzu editorial or content team",email,info@penzu.com,34,initial_sent_waiting,2026-08-03T02:00:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"Current dream-journal guide, 2026-02-01 update, seven named app comparisons and followed external links verified in rendered Chrome DOM; Penzu Inc., Toronto address, Ontario law and official info address verified in current Terms; exact Zimbra sent-folder dedupe returned no result; sent once from contact@noctalia.app; sent search shows the message at 02:00 and no immediate Penzu, mailer-daemon or postmaster reply; no payment, reciprocity, ranking, placement or guaranteed-link request"
androidheadlines.com,Kristijan Lucic,email,kristijan.lucic@androidheadlines.com,35,initial_sent_waiting,2026-08-03T14:00:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"Current article names Kristijan Lucic as author and editor and publishes the exact address in visible text and a mailto control; official Contact page permits site suggestions and identifies a Riverside, California address; automatic security verification completed without CAPTCHA interaction; the scheduled message moved to Sent at 14:00 CEST and its detail view shows contact@noctalia.app to the kristijan.lucic recipient alias with subject `journal app update`. Inbox has no Android Headlines reply and Spam has no new campaign bounce. Transmission only: not delivery, acceptance, publication, a backlink or DR gain; first conditional follow-up is due 2026-08-08 after a fresh stop gate"
sleep.com,Amy Wilkinson,email,amy@amywilkinson.co,36,initial_sent_waiting,2026-08-03T15:30:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"The 2022 Sleep.com dream-journal article names Amy Wilkinson and recommends voice-to-text while linking Wakefully; Sleep.com identifies Mattress Firm Inc. and its Houston address, current editorial standards, Terms and Privacy, with no Russian operator signal. Amy's current professional site was cross-checked through her Brooklyn editor-writer profile, Women's Health work and exact LinkedIn profile; its Contact page publishes amy@amywilkinson.co for work inquiries. The scheduled message is present in Zimbra Sent at 15:30 CEST with the `amy` recipient alias; Inbox and Spam show no Sleep.com reply or bounce. Transmission only: not delivery, acceptance, publication, a backlink or DR gain; first conditional follow-up is due 2026-08-08 after a fresh stop gate"
atlasworkspace.ai,Jet New,email,jet@atlasworkspace.ai,37,initial_sent_waiting,2026-08-03T03:27:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"Current 2026-06-30 comparison names Jet New, discloses Atlas as the publisher's own product, describes a 30-day four-app test and includes four followed external citations in the rendered article. The author page identifies Jet as founder, describes the methodology and directly publishes the address; the Contact page accepts partnerships and press. Atlas identifies AgentScale AI Pte. Ltd.; an independent Singapore registry mirror reports active UEN 202508156C and a Singapore address, so the accountable non-Russian operator gate passes despite generic governing-law text in the site's Terms. Exact Zimbra Sent-folder dedupe returned no result; sent once from contact@noctalia.app at 03:27 CEST and Zimbra displayed Le mail a été envoyé; no payment, reciprocity, ranking, placement or guaranteed-link request; not a backlink"
ilty.co,Alesya Skye and Artyom Sklyarov,email,hello@ilty.co,38,initial_sent_waiting,2026-08-03T17:00:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"The self-canonical index-follow comparison discloses ILTY ownership, reports 30+ days of testing and links six competitor domains without nofollow. Official About, Contact and Press pages name both founders, identify a Colorado team and publish hello@ilty.co; Apple's current listing identifies SUUR Limited Liability Company as seller and ilty.co as developer website. The scheduled message is present in Zimbra Sent at 17:00 CEST with the `hello` recipient alias; Inbox and Spam show no ILTY reply or bounce. Transmission only: not delivery, acceptance, publication, a backlink or DR gain; first conditional follow-up is due 2026-08-08 after a fresh stop gate"
theverge.com,Victoria Song,email,victoria.song@theverge.com,39,auto_reply_waiting_return,2026-08-03T15:45:00+02:00,2026-08-11,,2026-08-18,,auto_reply_away_until_2026-08-07,2026-08-03T15:45:00+02:00,,2026-08-03,"The current Senior Reviewer wrote the exact Pixel Journal opinion and five recent privacy, self-tracking, health and AI-wearable articles were read; the official author page publishes the direct address, the Contact page accepts story pitches and editorial tips, and Vox Media LLC establishes an accountable non-Russian United States operator. The scheduled message is present in Zimbra Sent at 15:45 CEST with the `victoria.song` recipient alias. Inbox contains Victoria Song's automatic reply stating she is away 2026-07-27 through 2026-08-07; no publication or backlink is implied. First follow-up is deferred to 2026-08-11 after her return and a fresh stop gate"
engadget.com,Igor Bonifacic via Engadget editorial team,email,staff@engadget.com,40,initial_sent_waiting,2026-08-03T17:45:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"The current AI reporter wrote the exact Pixel Journal overview and five recent articles on AI harms, voice and reflection were read. His author page publishes no direct email, so only Engadget's official editorial route was used; the About page identifies Static Media, a United States address and transparent editorial standards. The scheduled message is present in Zimbra Sent at 17:45 CEST with the `staff` recipient alias; Inbox and Spam show no Engadget reply or bounce. Transmission only: not delivery, acceptance, publication, a backlink or DR gain; first conditional follow-up is due 2026-08-08 after a fresh stop gate"
9to5google.com,Abner Li,email,abner@9to5mac.com,41,initial_sent_waiting,2026-08-03T19:30:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"The current editor-in-chief wrote the exact Pixel Journal launch article and five recent Google apps, Gemini, Android, Pixel, voice and sleep articles were read, with 2–14 visible comments. The official author page publishes the direct route, the Contact page confirms the role, and the About page identifies 925 LLC as an accountable non-Russian United States operator. The scheduled message is present in Zimbra Sent at 19:30 CEST with the `abner` recipient alias; Inbox and Spam show no 9to5Google reply or bounce. Transmission only: not delivery, acceptance, publication, a backlink or DR gain; first conditional follow-up is due 2026-08-08 after a fresh stop gate"
kapanlagi.com,Rizka Uzlifat via KapanLagi editorial team,email,redaksi.kapanlagi@kly.id,42,initial_sent_waiting,2026-08-03T05:27:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"The initial June 29 article cites Noctalia twice and lists the exact water-dream URL as plain text. A 2026-08-03 search and direct HTTP checks found six additional current KapanLagi water-dream pages with the same reference URL and zero noctalia.app anchors. Official Redaksi and About pages publish the editorial mailbox, named staff, Jakarta office and KapanLagi Youniverse or EMTEK identity, satisfying the accountable Indonesian non-Russian gate. Exact Zimbra Sent-folder dedupe returned no result; one source-attribution request under 150 words was sent from contact@noctalia.app at 05:27 CEST, Zimbra displayed Le mail a été envoyé and the exact subject appears in Sent. Consolidate the seven-page cluster in one conditional follow-up; no duplicate send, ranking, placement, payment, reciprocity or guaranteed link was requested"
bestforandroid.com,BestForAndroid editorial team,email,info@bestforandroid.com,43,closed_paid_only_no_spend,2026-08-03T07:36:00+02:00,,,,,paid_only_no_spend,2026-08-03T13:33:00+02:00,,2026-08-03,"The current AI diary article is dated 2026-06-21, names Farzan Hussain and covers privacy and non-clinical limits; the official Contact page publishes info@bestforandroid.com and identifies BestiumPro LLC at a San Francisco address. The initial factual suggestion was sent once at 07:36 CEST and appears in Sent. The reply from Stephan Jacob at 13:33 CEST offers only a $249 guest-post/brand-mention sponsorship, optional $45 content creation and paid add-ons, plus a Pressbear checkout. Close the route: no reply, checkout, account or spend; no backlink or DR gain"
androidayuda.com,AndroidAyuda editorial team,email,androidayuda@googlegroups.com,44,hard_bounce_closed,2026-08-03T08:10:00+02:00,,,,,bounced,2026-08-03T08:10:00+02:00,,2026-08-03,"The current English Android journaling guide names Lorena Figueredo and covers voice and dream use cases; the official contact page publishes androidayuda@googlegroups.com for managers and editors, the ethics page invites article suggestions, and the legal notice identifies AB Internet Networks 2008 SL in Spain. Zimbra Spam contains a 2026-08-03 08:10 Delivery Status Notification from mailer-daemon@googlemail.com stating that the androidayuda Google Group may not exist or may not accept posts. The route is closed: no follow-up, address guessing, duplicate submission, payment, reciprocity, ranking, placement or backlink claim"
sleepopolis.com,Sleepopolis editorial team,email,contact@sleepopolis.com,45,initial_sent_waiting,2026-08-03T08:39:00+02:00,2026-08-08,,2026-08-16,,awaiting_reply,,,2026-08-03,"The current dream-app article names Molly Nodurft, is dated 2023-10-16 and distinguishes consumer dream technology from clinically supported care; the official Contact page identifies Sleepopolis/Pillar4 Media at 2101 Thrift Road, Charlotte, NC 28208 and the official Press page publishes contact@sleepopolis.com. Exact Zimbra Sent-folder dedupe returned no result for info@ or contact@, and inbox search from sleepopolis.com returned no result. One factual update suggestion was sent from contact@noctalia.app at 08:39 CEST; Zimbra displayed Le mail a été envoyé and the exact Sent search returned one result with the subject at 08:39. No payment, reciprocity, ranking, placement or guaranteed-link request; transmission only, not a backlink"
