priority,cluster,market,keyword,kd,volume,gsv,traffic_potential,global_traffic_potential,status,next_action
P2,eggs,US,dreaming about eggs,0,30,200,90,250,GO_BACKLOG,"brief intact broken cooking and hatching scenarios"
HOLD,sex,IT,sognare di fare sesso,0,1200,1200,400,400,HOLD_OWNER_REVIEW,"map ex-partner and relationship owners first"
HOLD,sex,DE,traumdeutung sex,9,700,700,250,250,HOLD_OWNER_REVIEW,"map ex-partner and relationship owners first"
HOLD,sex,FR,rêver de faire l'amour,0,70,150,600,700,HOLD_OWNER_REVIEW,"map ex-partner and relationship owners first"
HOLD,sex,ES,soñar con sexo,22,450,2000,250,1400,HOLD_OWNER_REVIEW,"three historical impressions split across ex pages"
HOLD,sex,US,dreaming about sex,42,200,500,3100,4900,HOLD_OWNER_REVIEW,"high competition and sensitive intent"
P2,scorpion,IT,sognare scorpioni,0,450,450,100,100,GO_BACKLOG,"candidate wave 2 after turtle crocodile lice"
P2,scorpion,DE,traumdeutung skorpion,NA,50,70,NA,NA,GO_BACKLOG,"candidate wave 2 after turtle crocodile lice"
P2,scorpion,FR,rêver de scorpion,0,60,100,150,150,GO_BACKLOG,"candidate wave 2 after turtle crocodile lice"
P2,scorpion,ES,soñar con escorpiones,0,250,2100,250,2300,GO_BACKLOG,"SERP has a DR 0 symbol page at position 8"
P2,scorpion,US,dreaming about scorpions,1,100,200,600,800,GO_BACKLOG,"candidate wave 2 after turtle crocodile lice"
P2,ticks,IT,sognare zecche,0,200,200,100,100,GO_BACKLOG,"keep dog scenario subordinate"
P2,ticks,DE,traumdeutung zecken,NA,10,10,NA,NA,GO_BACKLOG,"low local demand"
P2,ticks,FR,rêver de tiques,0,10,20,20,20,GO_BACKLOG,"low local demand"
P2,ticks,ES,soñar con garrapatas,0,450,11000,200,6300,GO_BACKLOG,"prioritize Spanish brief"
P2,ticks,US,dreaming about ticks,0,40,60,200,200,GO_BACKLOG,"keep dog scenario subordinate"
P2,snail,IT,sognare lumache,0,300,300,200,200,GO_BACKLOG,"exclude spiral-stair false positives"
P2,snail,DE,traumdeutung schnecken,0,50,50,40,40,GO_BACKLOG,"exclude spiral-stair false positives"
P2,snail,FR,rêver d'escargots,NA,0-10,10,NA,NA,GO_BACKLOG,"exclude spiral-stair false positives"
P2,snail,ES,soñar con caracoles,0,250,1200,100,500,GO_BACKLOG,"exclude escalera de caracol queries"
P2,snail,US,dreaming about snails,0,10,10,20,30,GO_BACKLOG,"exclude spiral-stair false positives"
P3,fox,IT,sognare volpi,NA,40,40,NA,NA,P2_BACKLOG,"defer behind stronger animal clusters"
P3,fox,DE,traumdeutung fuchs,0,200,200,30,30,P2_BACKLOG,"defer behind stronger animal clusters"
P3,fox,FR,rêver de renard,0,50,60,80,80,P2_BACKLOG,"defer behind stronger animal clusters"
P3,fox,ES,soñar con zorros,0,30,200,30,300,P2_BACKLOG,"defer behind stronger animal clusters"
P3,fox,US,dreaming about foxes,0,30,60,250,300,P2_BACKLOG,"defer behind stronger animal clusters"
HOLD,bull,IT,sognare tori,0,30,30,30,30,HOLD_OWNER_REVIEW,"review being-chased and animal hub ownership"
HOLD,bull,DE,traumdeutung stier,NA,40,60,NA,NA,HOLD_OWNER_REVIEW,"review being-chased and animal hub ownership"
HOLD,bull,FR,rêver de taureau,0,30,40,150,150,HOLD_OWNER_REVIEW,"review being-chased and animal hub ownership"
HOLD,bull,ES,soñar con toros,0,1000,4600,700,6200,HOLD_OWNER_REVIEW,"high Spanish demand but existing pursuit ownership"
HOLD,bull,US,dreaming about bulls,0,20,30,150,200,HOLD_OWNER_REVIEW,"review being-chased and animal hub ownership"
HOLD,tiger,IT,sognare tigri,0,100,100,600,600,HOLD_OWNER_REVIEW,"historical and recent GSC impressions already hit animal owners"
HOLD,tiger,DE,traumdeutung tiger,0,200,250,60,70,HOLD_OWNER_REVIEW,"historical and recent GSC impressions already hit animal owners"
HOLD,tiger,FR,rêver de tigre,0,60,80,350,350,HOLD_OWNER_REVIEW,"review lion and animal hub ownership"
HOLD,tiger,ES,soñar con tigres,0,150,1900,200,3000,HOLD_OWNER_REVIEW,"review lion and animal hub ownership"
HOLD,tiger,US,dreaming about tigers,1,80,150,1600,2600,HOLD_OWNER_REVIEW,"review lion and animal hub ownership"
HOLD,wild_boar,IT,sognare cinghiali,0,200,200,200,200,HOLD_OWNER_REVIEW,"historical and recent impressions already hit animal hubs"
HOLD,wild_boar,DE,traumdeutung wildschwein,0,200,250,150,150,HOLD_OWNER_REVIEW,"historical and recent impressions already hit animal hubs"
HOLD,wild_boar,FR,rêver de sanglier,0,70,70,30,30,HOLD_OWNER_REVIEW,"keep animal guide as hub"
HOLD,wild_boar,ES,soñar con jabalíes,0,30,50,40,100,HOLD_OWNER_REVIEW,"keep animal guide as hub"
HOLD,wild_boar,US,dreaming about wild boars,NOT_INDEXED,NA,NA,NA,NA,HOLD_OWNER_REVIEW,"keep animal guide as hub"
HOLD,church,IT,sognare chiesa,0,150,150,100,100,HOLD_INTENT,"qualify religion ceremony and place intents"
HOLD,church,DE,traumdeutung kirche,0,150,150,30,40,HOLD_INTENT,"qualify religion ceremony and place intents"
HOLD,church,FR,rêver d'église,0,20,20,100,100,HOLD_INTENT,"qualify religion ceremony and place intents"
HOLD,church,ES,soñar con iglesia,0,90,1700,50,900,HOLD_INTENT,"historical query is tied to an ex-partner ceremony"
HOLD,church,US,dreaming about church,0,10,40,10,20,HOLD_INTENT,"qualify religion ceremony and place intents"
